DATAFLOW,AREA_REF,FREQ,INDICADOR,NTRAB,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M12,115.45,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M12,110.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M01,116.96,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M01,117.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M01,111.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M02,116.88,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M02,117.52,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M02,111.79,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M03,119.44,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M03,118.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M03,112.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M04,119.66,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M04,118.72,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M04,113.41,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M05,120.22,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M05,118.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M05,113.18,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M06,120.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M06,117.98,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M06,113.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M07,121.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M07,119.12,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M07,113.73,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M08,122.5,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M08,118.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M08,113.97,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M09,121.07,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M09,118.42,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M09,114.74,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M10,121.69,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M10,118.68,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M10,114.51,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M11,122.13,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M11,118.8,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M11,114.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M12,123.59,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M12,120,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M12,115.76,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M01,125.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M01,120.07,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M01,116.9,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M02,125.43,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M02,120.85,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M02,116.46,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M03,126.04,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M03,122.52,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M03,117.84,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M04,122.5,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M04,121.46,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M04,116.67,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M05,123.37,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M05,121.8,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M05,116.08,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M06,123.12,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M06,122.19,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M06,116.11,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M07,124,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M07,122.45,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M07,117.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M08,124.4,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M08,122.13,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M08,117.55,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M09,126.65,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M09,123,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M09,118.58,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M10,125.8,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M10,124.24,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M10,119.08,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M11,126.7,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M11,125.27,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M11,120.09,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2020-M12,127.72,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2020-M12,125.97,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2020-M12,120.31,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M01,127.56,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M01,127.56,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M01,122.08,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M02,128.34,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M02,128.07,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M02,121.28,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M03,130.3,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M03,129.47,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M03,122.84,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M04,128.26,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M04,130.46,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M04,123.25,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M05,129.53,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M05,130.16,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M05,122.29,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M06,128.87,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M06,130.61,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M06,123.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M07,131.48,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M07,133.37,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M07,124.19,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M08,131.6,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M08,133.19,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M08,124.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M09,132.01,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M09,133.43,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M09,124.87,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M10,132.44,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M10,134.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M10,125.68,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M11,134.37,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M11,135.15,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M11,126.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2021-M12,134.47,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2021-M12,137.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2021-M12,128.32,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M01,134.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M01,140.06,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M01,131.2,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M02,135.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M02,138.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M02,130.97,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M03,137.84,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M03,140.71,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M03,132.22,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M04,137.78,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M04,142.12,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M04,133.13,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M05,140.27,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M05,142.37,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M05,134.68,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M06,142.15,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M06,143.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M06,135.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M07,143.03,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M07,144.53,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M07,137.46,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M08,145.65,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M08,146.85,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M08,138.56,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M09,145.12,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M09,147.04,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M09,139.44,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M10,145.18,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M10,146.94,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M10,140.42,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M11,146.23,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M11,147.92,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M11,141.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2022-M12,147.36,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2022-M12,149.28,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2022-M12,143.45,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2023-M01,149.28,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2023-M01,152.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2023-M01,146.96,1,IX,0
