DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,M,2016,27.43136444022355,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_T,2016,18.044298753439705,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,M,2016,11.059081092760096,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_T,2016,6.6676133031233,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,M,2016,7.892740290367359,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_T,2016,4.801871769615796,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,M,2016,7.018097920011229,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_T,2016,4.377343018447954,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,M,2016,7.968815369188595,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_T,2016,4.8511612283434316,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,M,2016,11.51809765612908,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_T,2016,7.083119840104281,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,M,2016,13.200187442661687,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,F,2016,2.8576089195499756,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_T,2016,9.258082669232323,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,M,2016,17.387135100674193,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_T,2016,10.824583120292708,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,M,2016,26.94348603803538,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_T,2016,15.001187594017912,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,M,2016,20.059778138853783,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_T,2016,11.754472576815479,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,M,2016,2.8112927042834372,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,F,2016,0.07097896195397545,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_T,2016,1.6993205022154532,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,M,2016,34.66518248329815,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_T,2016,21.318400977803993,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,M,2016,4.786960320088088,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,F,2016,5.8633831720902965,1,RT,0
